User_Tweet,Company_Reply,Expected_Intent,Expected_Action (auto_handle/escalate)
@AppleSupport I use the Bedtime feature and have done for months. Randomly today and Tuesday it just didn’t go off. Sound is on loud..,@210109 Were you able to try the steps we provided? They will help us to isolate the issue.,Software Bug,escalate
"Okay @115858 I’ve had it with this glitch. Fix the I️ situation stat, it’s not a cute look. https://t.co/aCDOzNS7Oi",@594569 We’ve got your back. Check out the workaround in this article and DM us any questions you may have: https://t.co/MaraeomA15 https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport I did do all that. I don’t get anything from a vibration standpoint.,"@300639 Thank you for that information.  Please go ahead and update to our latest iOS 11.0.3, and let us know if the issue persists.",Hardware Defect,escalate
"Can we have a fix for this, @AppleSupport?",@571859 Let's get to the bottom of this. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport That’s not an answer. I already save as much battery life as I can. Why do apple updates screw up the phone? Each apple phone has done that! You screw people’s phones so they buy new ones right?! @115858,@272372 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,Battery Issue,auto_handle
My @115858 headphones have a short. Please send me a new pair @AppleSupport,@603279 We'd be happy to help with your EarPods. Are these EarPods that came with a device? Can you DM us what country you're in? https://t.co/GDrqU22YpT,Hardware Defect,escalate
@AppleSupport why does my phone say that I have headphones in when I don’t,@754785 We'll do everything we can to help you with this. How long has it been doing this? What iOS are you running on the device?,Hardware Defect,escalate
"@AppleSupport Yes, just not on the headphones. Using 11.0.2","@415482 We recommend updating to iOS 11.03. With any change to the device, we recommend making sure you have a current backup.",Hardware Defect,escalate
"My #AppleWatch OLED screen is worst every day... Did you think this is acceptable @AppleSupport @116333 ? Early adopter of #iPhone Edge &amp; #AppleWatch . #iPhoneX ? No, never again! 😡 #OLED #screen #burnin https://t.co/jNuWeLfZcq","@677418 We want you to be able to enjoy your Apple Watch, and we'll do all we can to help. To get started, let us know what country you're in via DM: https://t.co/GDrqU22YpT",Hardware Defect,escalate
"WTF is wrong with @115858 ? My iphone 📱 blacksout all the time, I’m definitely not a big fan anymore. 😞",@524798 We'd love to assist you. Is the device still on when the screen goes black? DM the answer below. https://t.co/GDrqU22YpT,Software Bug,escalate
@115858 please send me a new MacBook Air mine won't work and I don't know what happened and my Apple care ran out and I'm too poor to fix or buy a new one but also need my laptop for work and getting back into school -much Love Braedon,@265748 We know how important it is to be able to depend on your MacBook. Let's work together. Can you provide us what you're experiencing with your MacBook? Which macOS is currently installed on your Mac? You can locate the macOS with these steps: https://t.co/aTSJR8BjEc,Hardware Defect,escalate
"After 3.5 hours, 4 different Apple Tech Support (chat &amp; phone call) and a Supervisor who NEVER called me, I still CAN NOT log-in to ITunes, App Store, etc..  I’ve made My LAST @115858 Product purchase! #IOS11 is destructive!","@785332 We want you to be able to log into the iTunes and App Stores. DM us, and let us know what happens when you try to log in. We can help you get this resolved. https://t.co/GDrqU22YpT",Account Support,escalate
"@AppleSupport @115858 My 2-year old MacBook Air was stolen 2 days ago in Italy.. Can you help with questions re: insurance, security, etc?",@488230 Oh no. We're sorry to hear that. You may find this link helpful: https://t.co/rY3YNIWj2t DM us with any questions.,Account Support,escalate
@AppleSupport the sound on my macbook air isnt working. I looked at the options and theres no option for internal speaker. Idk what happen. https://t.co/mE2ubS6EgW,"@214332 Let's look at this together, please DM us. https://t.co/GDrqU22YpT",Hardware Defect,auto_handle
@115858 @AppleSupport how do I report issues with the new software,"@168225 You've come to the right place! What kind of device do you have, and which software version is it running? DM us here: https://t.co/GDrqU22YpT",Feature Inquiry,escalate
"@AppleSupport what if i don't have access to my ""trusted phone number""? I don't even remember which one is it ??? why do u make everything so complicated?","@344243 If you're not getting the code, or don't have access to the device, this link can help: https://t.co/PgJpFBufEK",Account Support,escalate
@AppleSupport @122326 And I only got it in April!! 2/2,"@558606 Battery life is important, and we're here for you. DM the iOS version your iPhone is running, and we'll get started. https://t.co/GDrqU22YpT",Battery Issue,auto_handle
#iPhoneX crackling sound issue on my phone as well. @115858 support made me restore etc. but no good.  https://t.co/1nI8pKxHnJ,@759375 We'd be happy to look into this with you. Let's meet in DM here: https://t.co/GDrqU22YpT,Hardware Defect,auto_handle
"@AppleSupport any idea why this happens? When i click on emoji, my keyboard goes up! See the video below! @115858 https://t.co/55EGEzPQwA","@249931 We're happy to help, but need to better understand what the issue is. It appears in the video that you're tapping the emoji key in the lower left, which is designed to bring up the emoji keyboard. Can you clarify the concern?",Feature Inquiry,escalate
@AppleSupport.. battery performance has degraded after #ios11update .. either take us back to ios 10 or do something about it..😡😡,@754101 Thanks for reaching out. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT,Battery Issue,auto_handle
@AppleSupport i want to fucking kill myself why cant I play my music anymore with this new Ios update,@623046 This is unexpected. We're here to help. Meet us in DM and we'll take a further look at this with you. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@115858 updated to 11.2. Unable to activate Apple Pay Cash. Help?,"@261493 Thanks for updating to iOS 11.2. If you're in the US, those features will begin rolling out early next week.",Feature Inquiry,escalate
Bloody terrible new IOS deleting battery life and destroying our phones! @AppleSupport 😡😡😡and 3 updates later too!!,@595351 Let's team up and work on this battery issue together. DM us the iOS 11 version currently installed &amp; your model iPhone. https://t.co/GDrqU22YpT,Battery Issue,auto_handle
"@AppleSupport why can’t we type the letter “I️” without it doing this. And yes, I’ve updated to iOS 11.1. The letter “I️” keeps glitching https://t.co/4bFDZ4yTBc",@514553 We can help you out. Take a gander at the following article and DM us with any questions. Thanks. https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,Software Bug,auto_handle
"@AppleSupport No, it does not.",@125608 Are all your apps updated from the App Store?,Software Bug,escalate
"@AppleSupport yes - iMessages lag when typing, all my apps lag to open &amp; apps that use video snap chat, Facebook, Instagram &amp; Snapchat kill every time💀💀",@673407 Are you using iOS 11.0.3? Let us know in Direct Message where we’ll continue from there. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport It doesn't even want to update- i have over 5 GB free storage 😕😕😕😕😕 pls help https://t.co/dKL2jJ0fGq,@126094 We're happy to help. Let's start with the steps in this article: https://t.co/80YRnjDFDk,Software Bug,auto_handle
"@115858: update ready to install for MacOs
Me: Probably a good idea
Macbook after updates: I forgot what a capital i looks like. Ok if I just show something else instead?

@115858 thanks for breaking a month old computer this AM with the same bug that got my phone this weekend... https://t.co/JM1P01Nz6V",@629077 We'd like to look into this with you further. DM us which macOS version you're running to get started. https://t.co/GDrqU22YpT,Software Bug,auto_handle
"@AppleSupport hello, I've received an email which I think is spam, do you have a department that deals with phishing emails? I can't see any details in my Apple account relating to the subscription I've apparently taken out - I've not clicked anything in the email.","@814566 Thanks for reaching out. For help identifying and reporting a phishing email, check out the following link: https://t.co/LNMCdqt6fD Please DM us if this does not help: https://t.co/GDrqU22YpT",Account Support,auto_handle
@115858 Out of three years i have replaced 3times speaker.. 2 times display Within in extended warranty period ! Should i file a case? MAC,"@815217 That is not expected, so we want to take a look at that with you.  Send us a DM so we can get started. https://t.co/GDrqU22YpT",Hardware Defect,auto_handle
Why in the fuck is my phone putting boxes with question marks in them in place of words?!? I️ don’t get it!🤔,@506203 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXefaskH,Software Bug,auto_handle
Don’t understand why every time I type the letter “I” it changes it to weird symbols? @115858 fix it pls,@485026 Thanks for reaching out. This article can help: https://t.co/tTi2c9SDuV Let us know if we can be of any other assistance.,Software Bug,auto_handle
@AppleSupport what is the fix for the fast battery drain since I upgraded to IOS 11.0.3?,@379044 We'd love to help you with your iPhone battery. DM us and we'll continue there. https://t.co/GDrqU2kzhr,Battery Issue,auto_handle
@115858 I have an iphone 6 64GB. After updating 11.1 my phone has become slow. Could you help resolve this issue? U r doing this to make users like me upgrade then that isn’t happening. Please address this Issue.,"@447240 We completely understand how a slow device is inconvenient. It's even more when needing information quickly. We recently introduced iOS 11.1.1. If you haven't updated, then try that after making a backup and DM us if the issue continues. https://t.co/GDrqU22YpT",Software Bug,escalate
"@AppleSupport Slow, laggy, apps shut down , battery life",@355319 Thank you for those details! We'd like to help you get this resolved as quickly as possible. Send us a DM to continue. https://t.co/GDrqU22YpT,Software Bug,auto_handle
Did @115858 even test High Sierra? I'm doing an upgrade that is a lot like pissing against the wind.,@235824 We're here to help. What issue are you having?,Software Bug,escalate
Why did my @24754 run out battery very fast after updated version? Anyone can help? @115858,@245920 We'd definitely like to help you with the battery issue you're experiencing with your iPhone. What is the exact version of iOS you're using on your iPhone? Let us know in DM. https://t.co/GDrqU22YpT,Battery Issue,auto_handle
"My phone has been off the charger since 7am, it’s 8:45 and it’s already on 75%?? @115858 wtf is up with that, so much for more “battery”..lol",@562917 We're happy to look into your battery concerns. DM us your model iPhone and the iOS version installed to get started. https://t.co/GDrqU22YpT,Battery Issue,auto_handle
"My phones due for an upgrade soon, and it’s deciding just to stop working and fucking up 😭 @115858 coincidence?? 🤔","@472651 Hi there, we can help with your current iPhone. Let us know which one you have, which iOS version &amp; what’s happening.",Software Bug,escalate
"@AppleSupport not as far as i remember it just comes up as a notification, and sometimes i have to unlock my account cause i get locked out",@309446 Are you using a specific app when this happens? Tap Settings &gt; Your Name &gt; iCloud &gt; iCloud Backup. Are you restoring?,Account Support,escalate
"@AppleSupport it just gets worse after each upgrade.  Battery drain is horrible, random reboots, taken to talk-to-text since lag is so bad.",@287949 We want you to have a much smoother experience with iOS 11. Let us help you out. Which specific version of iOS 11 are you running? When did you first notice these issues? Send us a DM with that info to get started. https://t.co/GDrqU22YpT,Software Bug,escalate
@115858 you wanna tell me why my (and my boyfriend’s) messages app keeps crashing every time I open it??? It’s an iPhone 7 Plus. Wtf and yes everything is fully up to date. Most annoying thing to not have working.,"@156812 Let's help get Messages up and running as expected. Reply by DM, and we'll take it from there. https://t.co/GDrqU22YpT",Software Bug,escalate
"@AppleSupport I'm considering upgrading to a 64GB iPhone X, but my current iPhone 7 (128GB) is using 92GB (mostly photos). I have Optimized Storage enabled. Will the backup restoration smartly trim photos in order to meet the new size requirements? Or will it naively error out?","@341056 Reach out to us via DM, then we can advise you on this from there. https://t.co/GDrqU22YpT",Feature Inquiry,auto_handle
@139938 anyone else having issues sending emails from @115858 devices? #NotSending,@663122 Thank you for reaching out to us. We'd be happy to look into this with you. Can you give us some more details? What happens when you try to send an email? Do you get an error message?,Software Bug,escalate
Wow. I am not about to keep playing with @115858. Run me my new phone🗣 cuz y'all still won't let me update after I tried all the troubleshooting steps yall sent me.,@143623 Can you please let us know via DM what happens when you try the update in iTunes? Any screenshots you may have would be a huge help. Thank you. https://t.co/GDrqU22YpT,Software Bug,escalate
@AppleSupport This issue is happening on the Mac. 11/14 in Safari reading email and today in a text message. Please fix.,"@725628 We'd be happy to dig into what's causing the autocorrect issue that you're seeing. When you mention that it's happening on your Mac, is it happening when you type the letter i or are you just seeing the issue when viewing content that others have typed?",Software Bug,escalate
"Hey @115858 @AppleSupport, what gives? And let’s not start on the crashing with 80% battery 🙄 #buyandroid #Apple #AppleFail https://t.co/g6AneAnOvM",@230302 We'd like to look into this with you. Is the device consistently shutting off at 80% battery life? Let us know in Direct Message and we'll take a look. https://t.co/GDrqU22YpT,Battery Issue,escalate
This may be the WORST experience I’ve had with @115858 in awhile. Phone randomly closing out. The damn “i” not fucking working. Like what the fuck?? AND you expect me to pay 1k for the 10 and y’all can’t even get the 8 TF together — i think TF NOT!,"@170495 We certainly want you to be able to enjoy your iPhone and we'll do all we can to help. To start, which iPhone do you have and have you updated to iOS 11.1.1 to help with the predictive text issue? If not, give that a try and let us know how it goes.",Software Bug,escalate
"Ok. @AppleSupport what is going on with iOS11.x?!

Phone rebooted and it booted up straight into lockout mode. 

What the fsck is going on over there? 

Seriously…

Every iOS11.x update has broken something new. 

What. The. Fsck.

#iWantMyiPhoneBack https://t.co/CPPBJCfiY1",@150185 Hi there! We want to help with this passcode issue so you can access your iPhone. Please check out the following article and let us know if you're still seeing this screen: https://t.co/F1QfwW1u1N,Account Support,escalate
@AppleSupport why is my phone running so horrible since ios11 install? Planned obsolescence?,"@471272 If you have concerns with your iPhone, we'd love to help. What version of iOS are you using, and what are you seeing?",Software Bug,escalate
@AppleSupport Thanks!!,@200233 You're very welcome!,General Feedback,auto_handle
"@AppleSupport Yes I am, although after the update I was prompted to enter a new password.",@432500 Check this. iTunes Store app More (...) &gt; Purchased &gt; Music. Do you see all of it there?,Account Support,escalate
@AppleSupport I know I’m not the only one with this issue I’ve checked Twitter y’all need to fix the keyboard shit cuz this is really irritating,@583952 Thanks for that screenshot and info. Let's take a closer look in DM. https://t.co/GDrqU22YpT,Software Bug,escalate
@AppleSupport My MacBook is on MacOS 10.13.2 developer beta 5 and I can't see the security update 2017-001 for MacOS High Sierra? I have installed all updates and there are no updates available anymore. And I haven't installed that update already...?,@816271 We're here to help. Let's get you in contact with our developer support here: https://t.co/MN29maiV1D,Software Bug,escalate
this update got my phone acting like a 4s @115858 what's ur deal ??,@509257 We're here to help. Can you DM us more details on your iPhone issues? https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport New update didn't work. Literally - took an hour and then got an error message. Just deleted all of my texts in hope it would work. Sigh,@289405 We'd like to help. You've done great so far to try to get it fixed up. Let's meet in DM and see what else we can work through: https://t.co/GDrqU22YpT,Software Bug,escalate
@115858 fix this before I go to android on yall dumb ass!!!!!!!!,@474332 We want to help you out. DM us some more details about the issue you're having to get started with us: https://t.co/GDrqU22YpT,Software Bug,auto_handle
"So many @115858 iPhone bugs. Mainly orientation not happening. Lots of shut downs. And, strange photo issues","@574454 We're happy to help with the issues you're experiencing. In DM, please let us know which software version you're using. https://t.co/GDrqU22YpT",Software Bug,auto_handle
"@AppleSupport  Why my “it” keep turning into “I.T” 
And my “okay” turning into “O...Kay”",@727055 We want to work on this with you. What iOS are you running on your device right now?,Software Bug,escalate
@AppleSupport  screen went black. Reset photo came back. WTF? https://t.co/yABpvf2NEn,"@162153 We're here for you. When you say you ""reset photo"", could you tell us what you mean by that? Thanks.",Software Bug,escalate
@AppleSupport I️ have no idea what I️ did but I️ am going out of my mind with the I️ autocorrect thing. I️ am glad we have more than a 140 characters but I️ want this I️ thing fixed,@638157 Thanks for reaching out to us. We’ve received your DM and will continue with you there. Watch for our reply shortly.,Software Bug,auto_handle
"@AppleSupport Does Apple mess w/people's phones after they're old &amp; a new one comes out? Weird, but, true...  My daughter &amp; I have 6Ss &amp; they've both suddenly got bad battery problems &amp; other issues w/running generally.  I know people joke about it, but our phones Rn't working.","@473245 We're happy to work on this with you. Let's get together in DM to start working on the issue. Once there, please let us know which version of iOS your iPhones have on them. You'll find that listed under Settings &gt; General &gt; About. https://t.co/GDrqU22YpT",Battery Issue,auto_handle
"Hey @AppleSupport My Mac Finder icon now looks like this, can you help.  Tried restarting and still broken. https://t.co/shLSIb4tG9",@361287  Let's start in safe mode: https://t.co/PQ4LSYhUTY This will clear some cache files and give us a good foundation.,Software Bug,escalate
@AppleSupport my iPhone won't let me delete any of my photos. I click delete and then they come back within seconds?!,@135046 Let's see how we can provide you the best guidance on this. Which iPhone and iOS version are you using? Have you tried restarting your iPhone after deleting the photos? Does the same issue happen after restarting?,Software Bug,escalate
"😑 @AppleSupport listen here. Day 4 of @115769 not working on #HighSierra. I’ve reinstalled, I’ve patched, I’ve checked Read and Write permissions. Like yo.",@165584 We’re happy to dive deeper into this with you. Reach us in DM to continue. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@115858 @115858 my FaceTime not working,@476530 Let's get FaceTime working again. Can you first tell us the device and software version you're experiencing this on?,Software Bug,escalate
@AppleSupport so saddened by the handling of my moms iPhone X preorder. She’s gotten no reason on why her phone is now being shipped back to the warehouse. It was scheduled to be delivered Monday. Now due to the return request from @115858 it’s going to be 10-14 days.,@267778 We're sorry to hear there's been some issues with the shipment of your mother's iPhone X. Was it purchased right from https://t.co/aDvvwiWFbo or through her carrier? https://t.co/GDrqU22YpT,Account Support,escalate
"@AppleSupport Hi, been having a lot of trouble with my iPhone lately and any help or advice u could give would really help.",@311210  We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version.,Software Bug,auto_handle
@AppleSupport is there anyway to undo this new update?!? My phone keeps on crashing &amp; freezing &amp; I’m trying to work Lyft &amp; Uber here!! 😡,@690961 We want to help. Meet us in DM and we'll work towards a solution together. https://t.co/GDrqU22YpT,Software Bug,auto_handle
I hate @115858 .. iOS 11 ruined my phone 😭😡,@680768 We are here to help whenever possible. DM us the specific issue you are seeing to get started. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport iPhone 7 current software is 11.0.2,@198489 Thanks for the photo. We want to look further into this issue. Reach us via DM to continue. https://t.co/GDrqU22YpT,Software Bug,escalate
Dear @115858 iOS 11 has crippled my barely 2 yr old phone. Not cool. #brick,@445677 That's not good. We want your iPhone running its best. Provide us more details on what's going on so we can help.,Software Bug,escalate
Final Cut Pro X (10.3.4) is soooo fuckin laggy on High Sierra!!!! WTH @115858??!!!?! 😡😡😡😡😡,@527116 Thanks for reaching out. DM us more info about your experience and we'll get you to the right spot. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@116333 Still no feedback from apple support. What kind of support is that??!! https://t.co/5t8MawBUH2,"@486432 We'd like to help. Check out this link: https://t.co/8MvHMFZ83h If you need further assistance, reach out to us in a DM here: https://t.co/GDrqU22YpT",Software Bug,auto_handle
It makes no sense that you cannot pair/unpair an Apple Watch without factory reset. I just worked out! Fix this! @AppleSupport @115858,"@150253 We'd love to help. If you have a backup, you can restore that to your watch when it's re-paired. https://t.co/ZgliRI8nbI",Feature Inquiry,escalate
@AppleSupport since upgrading to new IOS phone has been glitchy. Lock screen shows the time 50% of time. Whyyyyyyyy? https://t.co/XX7BglTAV5,@439955 We'd be happy to help. Send us a DM and tell us which version of iOS you're using and the model of iPhone. https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport I am pretty sure it is just a dummy speaker to look like a speaker....,@327192 Thanks! Go ahead &amp; reach out to us in DM &amp; tell us more about this. This will help show those speakers: https://t.co/Xr0X92s6Ls,Hardware Defect,escalate
"Wth @115858, I've been clicking ""download &amp; install"" for almost a week now but the update doesn't want to start download. 🤔",@356800 We'd be happy to help you get your apps updated. Have you tried another Wi-Fi network? Please DM us your device and version of OS: https://t.co/GDrqU22YpT,Software Bug,escalate
@AppleSupport iPhone 6 doesn't always take pictures w/ios 11.0.3,@581147 We'd like to know more about what is going on. Do you get an error when trying to take a photo? Let us know what happens. https://t.co/GDrqU22YpT,Software Bug,escalate
"@AppleSupport Iphone 7
Ios 11.2","@150731 Got it, thanks. To clarify is your battery life not lasting as long as you expect it to or are you having an issue with creating a backup of your device? Let us know and we'll continue.",Software Bug,escalate
Quand tu veux @115858 pour corriger le bug du dock qui disparaît sur iPad 12 »...,@216973 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,Software Bug,auto_handle
"HELP!😩😩😫got the whole way through the @115858/@AppleSupport upgrade programme, picked phone, location, sign in, enter code, got chucked out",@672698 Thanks for letting us know about your experience. We appreciate your patience as we look into this issue. Please reach out to our Apple Online Store Support team for assistance. You can reach them at the phone number listed here: https://t.co/8yjRd1Xo0i,Account Support,escalate
@AppleSupport the keyboard keeps disappearing on the iPhone 7 ever since the iPhone 8 (and coincidently the iPhone 7 bug/upgrade) dropped.,@398410 That isn't expected behavior. Let's figure this out. Is this happening with certain apps? Which iOS version are you running?,Software Bug,escalate
@AppleSupport my iPhone 7 Plus volume display keeps showing up despite my phone being idle any suggestions? Happened since update,@321626 We'd like to take a look together. Is there a case on the iPhone that covers the volume buttons?,Hardware Defect,escalate
@AppleSupport You guys over charged me on music I bought on iTunes and I want my money back I’m mad as hell,@123826 We want to help. You can reach our iTunes support team here: https://t.co/SDIe7UiyJN,Account Support,escalate
@AppleSupport what should i do?. https://t.co/CfQfc1386K,@580189 We can help. It appears you've started the account recovery process &amp; it will take about 5 days to complete. DM us any questions. https://t.co/GDrqU22YpT,Account Support,escalate
"@AppleSupport No, it just freezes the screen and a stationary pinwheel appears on the screen which I'm then unable to move, they keys don't work either apart from the off switch. When I manually restart it says ~""Your Mac shut down because of a problem"".",@716007 Thanks. Let's look into that further. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,Software Bug,auto_handle
MY PHOBE WNT SAVE THE FUKIN PICTURES BITCH IM ON TO U U BETTER FIX THIS SHIT IM NOT BUYING UR NEW IPHONE @115858,@755514 Let's work on this together so those photos can be saved to your iPhone again. DM what happens when you take a photo? Do you get an error message or does it just not show up in your Photos? https://t.co/GDrqU22YpT,Software Bug,escalate
@AppleSupport Ios 11.1.1 on the iPhone 6,@692121 Got it. Let’s continue to work together on this in DM: https://t.co/GDrqU22YpT,Software Bug,auto_handle
@AppleSupport IOS 11.03. iPhone 6. Issues started after the IOS update,@597934 We'd like to have you go ahead and update to iOS 11.1. DM us if you're still encountering the issues after. https://t.co/GDrqU22YpT,Software Bug,escalate
"@AppleSupport also I haven't been able to update my phone in a while, it's got iOS 10.0.02 right now.Error message for every update since.",@603899 Let's discuss your options for your battery and help with your software updates. Please DM us with the link below to start. https://t.co/GDrqU22YpT,Software Bug,escalate
"I’ve deleted over 8 thousand photos and videos and my iCloud is STILL full 
@AppleSupport plz help",@595983 We're happy to look into this issue with you. Please meet us in DM and we'll be happy to take a closer look. https://t.co/GDrqU22YpT,Account Support,auto_handle
@AppleSupport No.,@384111 Let's go ahead and continue in DM. https://t.co/GDrqU22YpT,Software Bug,auto_handle
"@AppleSupport iOS 11 has turned my rockin’ iPhone 6+ into my iPhone 4. Slow, clunky, autorotate does not, etc. I might as well be using a Samsung. Fix it quick, please.",@680411 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.,Software Bug,auto_handle
"@AppleSupport I broke my screen in my iPhone 8, I called to ask where I can fix in Mexico City but they don’t have a screen! How is posible",@128335 We'd like to help. Have you tried other locations? You can find the places closest to you with this link: https://t.co/FRIRA3cwGI,Hardware Defect,escalate
ii tried to turn my auto correct off but ii suck at texting without it 😫😫😫 @115858 fix this SHIT!!!!,@511912 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Software Bug,auto_handle
"@AppleSupport iPhone SE, 11.1.2, latest iTunes installed as well, via usb","@258640 Just to be sure we are on the same page, which specific box is grayed out that you are referring to?",Software Bug,escalate
Anyone else wrist breaking out from @115858 apple watch 3series ?,@730269 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU2kzhr,Hardware Defect,auto_handle
@AppleSupport Wow... Thank you so much the great ios 11 make my iphone6 dead 😒,@740342 Having issues getting your iPhone to power on? Check out this link here for help and DM us the results. https://t.co/8MvHMFZ83h https://t.co/GDrqU22YpT,Hardware Defect,escalate
@AppleSupport please take into account the following bug. This is my lockscreen. Thank you https://t.co/AAUauJH7ew,@555847 Which device and version of iOS are you using? Does a restart resolve the issue for any amount of time?,Software Bug,escalate
@AppleSupport Sending status bar sits at about 80% for a couple of minutes and then the red “not sent” appears. In some cases the message in fact did send,@331993 Please check out the steps in this support article for issues sending messages: https://t.co/2hgNQH8Vvq,Software Bug,escalate
